Top_board_pin,top_board_name,afterlife_board,afterlife_name,function,ESP32 C3 Super mini
1,GND,30,GND,GND,GND
2,GND,29,GND,GND,GND
3,ESPRX,28,RXIN,Not_connected,Test Pad only
4,ESPTX,27,TXOUT,Not_connected,Test Pad only
5,ESPRESET,26,RESET,Not_connected,Test Pad only
6,ESPBL,25,BOOTLOAD,Not_connected,Test Pad only
7,SCL,24,TOP_SCL,EEPROM_SCL,Test Pad only
8,SDA,23,TOP_SDA,EEPROM_SDA,Test Pad only
9,LS2,22,TOP_LS2,Screen_Reset,GPIO 8
10,LS1,21,TOP_LS1,Not_connected,Test Pad only
11,GND,20,GND,GND,GND
12,HS4,19,TOP_HS4,Screen_CS,GPIO 7
13,HS3,18,TOP_HS3,Screen_DC,GPIO 3
14,HS2,17,TOP_HS2,Screen_SDI,GPIO 6
15,HS1,16,TOP_HS1,Screen_CLK,GPIO 1
16,GND,15,GND,GND,GND
17,GND,14,GND,GND,GND
18,3v3,13,3V3,3V3_Regulator,3V3
19,3v3,12,3V3,3V3_Regulator,3V3
20,BTN6,11,BTN6,GPIO,GPIO 0
21,BTN5,10,BTN5,GPIO,GPIO 2
22,BTN4,9,BTN4,GPIO,GPIO 21
23,BTN3,8,BTN3,GPIO,GPIO 20
24,BTN2,7,BTN2,GPIO,GPIO 5
25,BTN1,6,BTN1,GPIO,GPIO 4
26,GND,5,GND,GND,GND
27,VBAT_SW,4,TOP_VBAT_SW,USB_V_BUS,5V
28,VBAT_SW,3,TOP_VBAT_SW,USB_V_BUS,5V
29,LED_DATA,2,LED_DATA_TOP,LED_Data_in,GPIO 10
30,GND,1,GND,GND,GND
,,,,,
